race;pid;finish;dist;dpos;alt;time
R00001;P000000;1;0;0;1064;0.0
R00001;P000000;1;14.03;1229;1919;1.52
R00001;P000000;1;22.4;1410;1615;2.21
R00001;P000000;1;27.94;1444;815;2.71
R00001;P000000;1;42.96;3034;1935;4.7
R00001;P000000;1;54.11;3687;1550;6.38
R00001;P000000;1;58.12;3725;1088;6.73
R00001;P000000;1;59.33;3725;1063;6.81
R00001;P000001;1;0;0;1064;0.0
R00001;P000001;1;14.03;1229;1919;1.74
R00001;P000001;1;22.4;1410;1615;2.49
R00001;P000001;1;27.94;1444;815;3.0
R00001;P000001;1;42.96;3034;1935;5.24
R00001;P000001;1;54.11;3687;1550;7.07
R00001;P000001;1;58.12;3725;1088;7.42
R00001;P000001;1;59.33;3725;1063;7.51
R00001;P000002;1;0;0;1064;0.0
R00001;P000002;1;14.03;1229;1919;1.74
R00001;P000002;1;22.4;1410;1615;2.45
R00001;P000002;1;27.94;1444;815;2.92
R00001;P000002;1;42.96;3034;1935;5.18
R00001;P000002;1;54.11;3687;1550;7.2
R00001;P000002;1;58.12;3725;1088;7.66
R00001;P000002;1;59.33;3725;1063;7.76
R00001;P000003;1;0;0;1064;0.0
R00001;P000003;1;14.03;1229;1919;1.94
R00001;P000003;1;22.4;1410;1615;2.81
R00001;P000003;1;27.94;1444;815;3.4
R00001;P000003;1;42.96;3034;1935;5.8
R00001;P000003;1;54.11;3687;1550;7.59
R00001;P000003;1;58.12;3725;1088;7.98
R00001;P000003;1;59.33;3725;1063;8.07
R00001;P000004;1;0;0;1064;0.0
R00001;P000004;1;14.03;1229;1919;1.88
R00001;P000004;1;22.4;1410;1615;2.68
R00001;P000004;1;27.94;1444;815;3.23
R00001;P000004;1;42.96;3034;1935;5.58
R00001;P000004;1;54.11;3687;1550;7.61
R00001;P000004;1;58.12;3725;1088;7.99
R00001;P000004;1;59.33;3725;1063;8.08
R00001;P000005;1;0;0;1064;0.0
R00001;P000005;1;14.03;1229;1919;1.86
R00001;P000005;1;22.4;1410;1615;2.66
R00001;P000005;1;27.94;1444;815;3.2
R00001;P000005;1;42.96;3034;1935;5.74
R00001;P000005;1;54.11;3687;1550;7.82
R00001;P000005;1;58.12;3725;1088;8.23
R00001;P000005;1;59.33;3725;1063;8.32
R00001;P000006;1;0;0;1064;0.0
R00001;P000006;1;14.03;1229;1919;2.04
R00001;P000006;1;27.94;1444;815;3.37
R00001;P000006;1;42.96;3034;1935;5.83
R00001;P000006;1;59.33;3725;1063;8.33
R00001;P000007;1;0;0;1064;0.0
R00001;P000007;1;14.03;1229;1919;1.81
R00001;P000007;1;22.4;1410;1615;2.61
R00001;P000007;1;27.94;1444;815;3.16
R00001;P000007;1;42.96;3034;1935;5.63
R00001;P000007;1;54.11;3687;1550;7.85
R00001;P000007;1;58.12;3725;1088;8.28
R00001;P000007;1;59.33;3725;1063;8.37
R00001;P000008;1;0;0;1064;0.0
R00001;P000008;1;14.03;1229;1919;1.74
R00001;P000008;1;22.4;1410;1615;2.52
R00001;P000008;1;27.94;1444;815;3.12
R00001;P000008;1;42.96;3034;1935;5.78
R00001;P000008;1;54.11;3687;1550;7.89
R00001;P000008;1;58.12;3725;1088;8.29
R00001;P000008;1;59.33;3725;1063;8.38
R00001;P000009;1;0;0;1064;0.0
R00001;P000009;1;14.03;1229;1919;1.88
R00001;P000009;1;22.4;1410;1615;2.68
R00001;P000009;1;27.94;1444;815;3.19
R00001;P000009;1;42.96;3034;1935;5.75
R00001;P000009;1;54.11;3687;1550;7.97
R00001;P000009;1;58.12;3725;1088;8.37
R00001;P000009;1;59.33;3725;1063;8.47
R00001;P000010;1;0;0;1064;0.0
R00001;P000010;1;14.03;1229;1919;1.76
R00001;P000010;1;22.4;1410;1615;2.49
R00001;P000010;1;27.94;1444;815;2.98
R00001;P000010;1;42.96;3034;1935;5.63
R00001;P000010;1;54.11;3687;1550;8.0
R00001;P000010;1;58.12;3725;1088;8.43
R00001;P000010;1;59.33;3725;1063;8.53
R00001;P000011;1;0;0;1064;0.0
R00001;P000011;1;14.03;1229;1919;2.12
R00001;P000011;1;22.4;1410;1615;2.88
R00001;P000011;1;27.94;1444;815;3.47
R00001;P000011;1;42.96;3034;1935;5.86
